,Company/Brand,Amount($),Year of Funding
70,Alteria Capital,150000000000.0,2021
1556,Reliance Retail Ventures Ltd,70000000000.0,2020
1726,Snowflake,3000000000.0,2020
1553,Reliance,2200000000.0,2020
1818,Swiggy,1956000000.0,8079
2002,VerSe Innovation,1550000000.0,6062
162,BYJU'S,1260000000.0,8084
502,Dream Sports,1240000000.0,4042
2153,Zomato,1239000000.0,14138
273,Byju’s,1000000000.0,4040
1318,OYO,965000000.0,8081
272,Byju's,947860249.9107393,8080
2141,Zetwerk,925200000.0,12123
1168,Meesho,920000000.0,6060
1330,Ola,861000000.0,6059
1555,Reliance Retail Ventures,800000000.0,2020
1598,SBI Life,742000000.0,2018
1416,PhonePe,720000000.0,4040
191,BharatPe,705200000.0,20208
1361,Oyo,700000000.0,4041
275,CARS24,650000000.0,4041
1663,ShareChat,639581000.0,8079
1075,Lenskart,590000000.0,6062
163,BYJU’S,590000000.0,4039
473,Delhivery,556860249.9107393,8083
279,CRED,545000000.0,6062
1741,Spinny,525700000.0,12121
1940,Udaan,505000000.0,4039
1331,Ola Electric,501000000.0,8083
1972,Urban Company,438000000.0,4042
1326,OfBusiness,435000000.0,4042
1412,PharmEasy,430000000.0,4039
271,Byju,400000000.0,4040
2142,Zhangmen,400000000.0,2020
1948,Unacademy,395860249.9107393,10102
149,Ayana,390000000.0,2020
1460,Postman,375000000.0,4041
278,CLP India Pvt. Ltd.,365000000.0,2018
797,Groww,363120000.0,8080
1122,MPL,355827021.4984517,12123
118,Asteria Aerospace,340827021.4984517,4038
503,Dream11,325000000.0,4038
1083,Licious,324000000.0,10100
1309,Nykaa,320715749.732218,14138
292,CarDekho,320000000.0,4041
1545,Rebel Foods,306400000.0,10101
373,CoinSwitch Kuber,300000000.0,6063
1944,Ultraviolette,300000000.0,4042
660,FirstCry,296000000.0,2020
1766,Stelis Biopharma,295000000.0,4039
2021,Vistara,292000000.0,2018
485,Digit Insurance,284340000.0,8082
218,Bizongo,281000000.0,8083
1425,Pine Labs,272320499.82147866,8082
1210,Mohalla Tech,266000000.0,2021
1705,Slice,261082000.0,10103
760,GlobalBees,261000000.0,4042
1629,Sarva,260380749.732218,8080
1541,Razorpay,260000000.0,4041
35,Acko,255000000.0,2021
1995,Vedantu,254300000.0,12119
1146,Max Healthcare,250827021.4984517,4039
1002,Khatabook,245860249.91073933,6061
667,Five Star Finance,234000000.0,2021
718,Furlenco,225027021.4984517,10100
1767,Stellaris Venture Partners,225000000.0,2021
912,Indiabulls Ventures,224723200.0,2018
96,AppsFlyer,210000000.0,2020
1581,Royal Sundaram General Insurance Co. Limited,210000000.0,2018
248,Bounce,209000000.0,6060
1846,Teachmint,203860249.91073933,10103
1272,NewLink Group,200000000.0,2021
510,Droom,200000000.0,2021
260,BrowserStack,200000000.0,2021
951,Interviewbit,200000000.0,2020
733,GalaxyCard,197137271.409191,6059
1769,Steradian Semiconductors,196687271.409191,4038
401,Cred,191827021.4984517,4039
154,Azure Power,185000000.0,2018
462,DealShare,177000000.0,8083
1833,Taimei,176000000.0,2020
598,Expertrons,174020499.82147866,8082
1525,RACEnergy,173020499.82147866,6061
1461,Power Gummies,172720499.82147866,6061
607,F5,172620499.82147866,8082
1477,Pristyn Care,172000000.0,8082
1558,Remedo,171720499.82147866,4040
627,Fanspole,171720499.82147866,4040
854,Hire Me Car,171720499.82147866,4040
1914,Tring,171720499.82147866,4040
920,Infarm,170000000.0,2020
89,Apna,170000000.0,4042
1908,Trell,163250000.0,12120
2136,Zepto,160000000.0,4042
1033,KreditBee,158000000.0,6063
461,DeHaat,157000000.0,6062
696,Fourth Partner Energy,156000000.0,6061
1748,Sportido,154157322.797153,4038
1502,Purplle,153000000.0,8082
1852,Tekion,150000000.0,2020
1861,The Good Glamm Group,150000000.0,2021
1582,Ruangguru,150000000.0,2020
769,GoMechanic,147560249.91073933,8081
927,Infra.Market,146000000.0,8082
758,Glance,145000000.0,2020
435,Curefit,145000000.0,2021
2213,upGrad,145000000.0,4042
2150,Zoko,140000000.0,2021
1936,Twin Health,140000000.0,2021
1709,Smallcase,139260249.91073933,6061
1095,Livspace,139000000.0,6058
708,FreshtoHome,137000000.0,4040
516,Dunzo,135022000.0,10099
1170,Mensa,135000000.0,2021
871,Hubilo,129500000.0,4041
2154,Zoomcar,126800000.0,6061
976,Jumbotail,125300000.0,10103
589,Eupheus Learning,125127021.4984517,6059
851,HighRadius,125000000.0,2020
2194,infra.market,125000000.0,2021
251,Box8,124000000.0,4040
444,DMI Group,123000000.0,2020
1939,Uable,120860249.91073933,6062
1286,Ninjacart,119830301.2987013,8078
242,Bombay Shaving Company,118827021.4984517,6060
1458,Porter,118370000.0,4041
106,Arrival,118000000.0,2020
1899,Toppr,116761000.0,6058
222,Blackbuck,115492409.91073933,4038
433,CureFit,115000000.0,2020
703,Freightwalla,114827021.4984517,4038
853,Hippo Video,114827021.4984517,4038
1241,Mynvax,114827021.4984517,4039
1001,Khabri,112827021.4984517,4039
741,Generico,112227021.4984517,4038
587,Eunimart,111527021.4984517,4039
351,Clensta,111427021.4984517,4039
1323,OckyPocky,111227021.4984517,6059
1017,Knocksense,111177021.4984517,6060
995,Keito,110987021.4984517,6059
679,Flickstree,110867921.4984517,4038
1977,UrbanPiper,110827021.4984517,2018
1994,Vebbler,110827021.4984517,2018
2039,WOTU,110827021.4984517,2018
1184,Microchip Payments,110827021.4984517,2018
480,DheeYantra Research Labs,110827021.4984517,2018
2074,Wide Mobility Mechatronics,110827021.4984517,2018
2084,Wishfie,110827021.4984517,2018
471,Deftouch,110827021.4984517,2018
467,Dee Dee Labs,110827021.4984517,2018
1456,Pooltoo,110827021.4984517,2018
2085,Wishup,110827021.4984517,2018
2059,Wedeterna,110827021.4984517,2018
513,Drstore,110827021.4984517,2018
452,DailyNinja,110827021.4984517,2018
1459,Poshmiles Online Solutions Private Limited,110827021.4984517,2018
563,Em Personal Care,110827021.4984517,2018
566,Emojifi,110827021.4984517,2018
593,EventBeep,110827021.4984517,2021
1966,UpCyclersLab,110827021.4984517,2018
1958,University Living,110827021.4984517,2018
609,FLEECA,110827021.4984517,2018
619,Faclon Labs,110827021.4984517,2018
1469,Predible Health,110827021.4984517,2018
632,FarmTaaza,110827021.4984517,2018
634,FarmersFZ,110827021.4984517,2018
2106,Xplorabox,110827021.4984517,2018
1447,Plum Goodness,110827021.4984517,2018
448,Daaki,110827021.4984517,2018
1346,Ontrack Technologies Pvt. Ltd,110827021.4984517,2018
2210,srJna,110827021.4984517,2018
1398,Pentation Analytics,110827021.4984517,2018
2172,docturnal,110827021.4984517,2018
1430,PivotRoots,110827021.4984517,2018
2165,alphaics Corporation,110827021.4984517,2018
2163,Zyla Health,110827021.4984517,2018
1352,Orbo.ai,110827021.4984517,2018
1351,Ora,110827021.4984517,2018
300,Carmel Organics,110827021.4984517,2018
312,Cellerite Systems,110827021.4984517,2018
317,Chakr Innovation,110827021.4984517,2018
330,Chizel,110827021.4984517,2018
332,Chrysalis (EZ Vidya),110827021.4984517,2018
1313,OPEN,110827021.4984517,2018
350,Cleardekho,110827021.4984517,2018
357,Cloudnine Hospitals,110827021.4984517,2018
2149,Zoctr Health,110827021.4984517,2018
376,CollPoll,110827021.4984517,2018
382,Connect India,110827021.4984517,2018
391,Corefactors,110827021.4984517,2018
400,Creator’s Gurukul,110827021.4984517,2018
2140,Zestl,110827021.4984517,2018
414,Creditas Solutions,110827021.4984517,2018
419,Cricnwin,110827021.4984517,2018
1334,Olly Smart Credit Card,110827021.4984517,2018
2129,ZAMROO,110827021.4984517,2018
655,Finwego,110827021.4984517,2018
686,Flock,110827021.4984517,2018
1929,Try & Buy,110827021.4984517,2018
1661,ShakeDeal,110827021.4984517,2018
1784,Stumagz,110827021.4984517,2018
1781,Strom Motors,110827021.4984517,2018
909,India Accelerator,110827021.4984517,2018
1778,Streo,110827021.4984517,2018
1773,Stones2Milestones,110827021.4984517,2018
1744,Spoofin,110827021.4984517,2018
939,Inntot Technologies,110827021.4984517,2018
1725,Snapmint,110827021.4984517,2018
1238,MySEODoc,110827021.4984517,2018
1219,Moonshine Meadery,110827021.4984517,2018
1688,Singularity Dynamics,110827021.4984517,2018
