,HeadQuarter,Amount($)
77,Mumbai,236658954607.4876
9,Bangalore,37746894774.7057
43,Gurugram,6756688550.138312
80,New Delhi,6135941132.99336
96,Pune,3503161905.448953
28,Delhi,3374608994.7502522
21,California,3164160249.9107394
42,Gurgaon,2951294416.125926
85,Noida,2258995709.018533
23,Chennai,2218239204.544407
15,Bengaluru,1826170563.802899
47,Hyderabad,1467832340.2213798
45,Haryana,1448153335.904546
1,Ahmedabad,928493364.1383125
53,Jaipur,919363542.818382
64,Kolkata,522954521.14140904
127,Thane,462027271.409191
116,"Shanghai, China",400000000.0
50,Indore,385872971.2306697
22,Chandigarh,350113822.61863166
63,Kochi,313984292.9076427
62,Kerala,257580749.732218
31,Faridabad,234600000.0
49,India,222895042.9969034
59,Kalpakkam,210000000.0
13,Beijing,200000000.0
40,Gujarat,195820499.82147866
56,"Jiaxing, Zhejiang, China",176000000.0
16,Berlin,170000000.0
111,"San Ramon, California",150000000.0
69,"London, England, United Kingdom",143000000.0
93,Patna,115860249.91073933
37,Ghaziabad,115027021.4984517
24,Cochin,112727021.4984517
95,Powai,111227021.4984517
70,Lucknow,111177021.4984517
131,Trivandrum,111127021.4984517
75,Mohali,110827021.4984517
46,Hubli,110827021.4984517
140,Worli,110827021.4984517
3,Alwar,110827021.4984517
7,Azadpur,110827021.4984517
30,Ernakulam,110827021.4984517
5,Anand,110827021.4984517
32,"Faridabad, Haryana",102500000.0
107,"San Francisco Bay Area, Silicon Valley, West Coast",90060249.91073933
18,Bhopal,86880249.91073933
123,Tamil Nadu,85860249.91073933
89,"Palmwoods, Queensland, Australia",85860249.91073933
105,San Franciscao,85860249.91073933
35,"Frisco, Texas, United States",85860249.91073933
133,"Tumkur, Karnataka",85860249.91073933
138,Warangal,85860249.91073933
106,San Francisco,84000000.0
51,Information Technology & Services,75000000.0
54,"Jaipur, Rajastan",56900000.0
108,"San Francisco Bay Area, West Coast, Western US",55000000.0
65,Kormangala,51288000.0
25,Coimbatore,36650000.0
98,Rajasthan,33000000.0
12,Banglore,32000000.0
39,Guindy,30000000.0
19,Bhubaneswar,30000000.0
109,"San Francisco, California, United States",29500000.0
6,Andheri,24300000.0
8,Bangaldesh,22000000.0
2,Alleppey,22000000.0
71,Ludhiana,20000000.0
110,"San Francisco, United States",18000000.0
122,"Sydney, New South Wales, Australia",15000000.0
112,Santra,15000000.0
118,Singapore,13980000.0
82,"New York, United States",12500000.0
124,"Tangerang, Jawa Barat, Indonesia",12000000.0
34,France,11000000.0
67,Kottayam,10000000.0
86,Odisha,10000000.0
137,Vadodara,10000000.0
125,Telangana,10000000.0
11,Bangkok,9000000.0
17,Bhilwara,8000000.0
121,Sydney,7500000.0
81,New York,7000000.0
120,Surat,5600000.0
92,"Paris, Ile-de-France, France",5400000.0
0,Ahmadabad,5300000.0
10,Bangalore City,5005400.0
103,"Samastipur, Bihar",5000000.0
88,Orissia,5000000.0
83,New delhi,5000000.0
94,"Plano, Texas, United States",3000000.0
104,Samsitpur,3000000.0
74,"Milano, Lombardia, Italy",2300000.0
27,Dehradun,2000000.0
61,Kanpur,1984000.0
57,Jodhpur,1893000.0
135,Uttar Pradesh,1538000.0
139,West Bengal,1500000.0
126,Telugana,1500000.0
73,Margão,1496500.0
14,Belgaum,1476000.0
115,Seoul,1400000.0
38,Goa,1368000.0
101,Riyadh,1300000.0
26,Computer Games,1200000.0
68,London,1200000.0
48,Hyderebad,1100000.0
114,Seattle,1100000.0
117,Silvassa,1000000.0
136,Uttar pradesh,1000000.0
90,Panaji,1000000.0
97,Rajastan,1000000.0
33,Food & Beverages,922000.0
119,"Small Towns, Andhra Pradesh",800000.0
78,Mylapore,600000.0
134,Undefined,500000.0
130,"Tirunelveli, Tamilnadu",500000.0
52,"Irvine, California, United States",500000.0
79,Nagpur,350000.0
20,Bihar,329000.0
84,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",300000.0
132,"Trivandrum, Kerala, India",300000.0
58,Kalkaji,233600.0
36,Gandhinagar,200000.0
4,Ambernath,200000.0
99,Rajsamand,200000.0
128,The Nilgiris,200000.0
113,Satara,140000.0
41,Guntur,130000.0
29,"Dhingsara, Haryana",100000.0
100,Ranchi,100000.0
91,Panchkula,100000.0
60,Kannur,17520.0
66,Kota,1460.0
129,Thiruvananthapuram,0.0
55,Jharkhand,0.0
44,Guwahati,0.0
102,Roorkee,0.0
72,Mangalore,0.0
87,Online Media,0.0
76,"Mountain View, CA",0.0
