,Sector,Amount($)
0,"0    Fintech
Name: Sector, dtype: object",195389099.82147866
1,3D Printing,110827021.4984517
2,AI,514647749.55369663
3,AI & Data science,8000000.0
4,AI & Debt,85860249.91073933
5,AI & Deep learning,85860249.91073933
6,AI & Media,3000000.0
7,AI Chatbot,7500000.0
8,AI Company,6000000.0
9,AI Platform,8000000.0
10,AI Robotics,281300.0
11,AI Startup,85860249.91073933
12,AI company,5000000.0
13,AI health,350000.0
14,AI platform,3000000.0
15,AI startup,372936000.0
16,API platform,4050000.0
17,AR platform,7000000.0
18,AR startup,1100000.0
19,AR/VR,85860249.91073933
20,AR/VR startup,1000000.0
21,Accomodation,102060249.91073933
22,Accounting,170327021.4984517
23,Ad-tech,3000000.0
24,Advertisement,1800000.0
25,Advertising,222442442.9969034
26,Advisory firm,0.0
27,Aeorspace,1800000.0
28,Aero company,85860249.91073933
29,Aerospace,402827021.4984517
30,AgTech,36500000.0
31,Agri tech,500000.0
32,AgriTech,738010749.732218
33,Agriculture,583307107.4922584
34,Agritech,400070749.732218
35,Agritech startup,5060000.0
36,Agritech/Commerce,1000000.0
37,Ai,31000000.0
38,Ai & tech,20000000.0
39,Air Transportation,6000000.0
40,Alternative Medicine,110827021.4984517
41,Analytics,116507341.4984517
42,Android,2000000.0
43,Apparel & Fashion,39200000.0
44,Appliance,2879000.0
45,Apps,912808900.4891618
46,Artificial Intelligence,787869870.4891618
47,Arts & Crafts,0.0
48,Audio,800000.0
49,Augmented reality,0.0
50,Auto-tech,85860249.91073933
51,Automation,102810000.0
52,Automation tech,500000.0
53,Automobile,684509999.6429573
54,Automobile & technology,5000000.0
55,Automobile Technology,14700000.0
56,Automobiles,124860249.91073933
57,Automotive,2818730036.4060946
58,Automotive Startup,360000.0
59,Automotive and Rentals,209000000.0
60,Automotive company,85860249.91073933
61,Automotive tech,54530000.0
62,Autonomous Vehicles,3934400.0
63,Aviation,3000000.0
64,Aviation & Aerospace,500000.0
65,Ayurveda tech,2000000.0
66,B2B,603668292.9076427
67,B2B Agritech,12000000.0
68,B2B E-commerce,51000000.0
69,B2B Ecommerce,185000000.0
70,B2B Manufacturing,2600000.0
71,B2B Marketplace,1400000.0
72,B2B Travel,2200000.0
73,B2B marketplace,99660249.91073933
74,B2B service,400000.0
75,B2B startup,30000000.0
76,B2b,4000000.0
77,B2b supply chain,43330301.2987013
78,Banking,438983021.4984517
79,Basketball,1000000.0
80,Battery,250000.0
81,Battery design,2000000.0
82,Battery manufacturer,2000000.0
83,Beauty,134965021.4984517
84,Beauty & wellness,150000.0
85,Beauty products,65000000.0
86,Beverage,21690000.0
87,Beverages,109610249.91073933
88,Big Data,20580000.0
89,Bike Rental,125000.0
90,Bike marketplace,2000000.0
91,BioTechnology,280600000.0
92,Biomaterial startup,1400000.0
93,Biopharma,107500000.0
94,Biotech,264000.0
95,Biotechnology,535208085.9938068
96,Biotechnology company,1200000.0
97,Blockchain,14200000.0
98,Blockchain startup,4050000.0
99,Blogging,4100000.0
100,Brand Marketing,500000.0
101,Broadcasting,292000.0
102,Business Development,730000.0
103,Business Intelligence,500000.0
104,Business Supplies & Equipment,300000.0
105,Business Travel,110827021.4984517
106,CRM,320000.0
107,Cannabis startup,200000.0
108,Capital Markets,13200000.0
109,Car Service,86880249.91073933
110,Car Trade,42500000.0
111,Career Planning,113827021.4984517
112,Catering,1000000.0
113,Celebrity Engagement,1000000.0
114,Child Care,221654042.9969034
115,Children,111557021.4984517
116,Classifieds,8030000.0
117,Clean Energy,584000.0
118,CleanTech,18792000.0
119,Cleantech,22000000.0
120,Clothing,50000000.0
121,Cloud Computing,222446042.9969034
122,Cloud Infrastructure,1600000.0
123,Cloud Kitchen,1000000.0
124,Cloud company,5000000.0
125,Cloud kitchen,175000000.0
126,Co-living,56000000.0
127,Co-working,91560249.91073933
128,Co-working Startup,1000000.0
129,Collaboration,4500000.0
130,Commerce,1000000.0
131,Commercial,584000.0
132,Commercial Real Estate,21000000.0
133,Communities,111484021.4984517
134,Community,810000.0
135,Community platform,26000000.0
136,Company-as-a-Service,3000000.0
137,Computer,6820000.0
138,Computer & Network Security,7000000.0
139,Computer Games,2320000.0
140,Computer Software,151300000.0
141,Computer software,237700000.0
142,Construction,233215000.0
143,Construction tech,1100000.0
144,Consultancy,15000000.0
145,Consulting,28450000.0
146,Consumer,113627021.4984517
147,Consumer Applications,110827021.4984517
148,Consumer Electronics,270073042.9969034
149,Consumer Goods,513541492.9076427
