Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018, 
Happy Cow Dairy,"Agriculture, Farming",Seed,,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,INR
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,,Gurgaon,Leading Online Loans Marketplace in India,2018,INR
PayMe India,"Financial Services, FinTech",Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018, 
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,0.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,NUL
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018, 
Tripshelf,"Internet, Leisure, Marketplace",Seed,,Kalkaji,Tripshelf is an online market place for holiday packages.,2018,INR
Hyperdata.IO,Market Research,Angel,,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,INR
Freightwalla,"Information Services, Information Technology",Seed,0.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,NUL
Microchip Payments,Mobile Payments,Seed,0.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018,NUL
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,0.0,Delhi,Building Transactionary B2B Marketplaces,2018,NUL
Emojifi,Internet,Seed,0.0,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,NUL
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,0.0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,NUL
Freshboxx,Food Delivery,Seed,0.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,NUL
Wide Mobility Mechatronics,Industrial Automation,Seed,0.0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,NUL
Pitstop,"Automotive, Search Engine, Service Industry",Seed,,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,INR
Mihuru,"Finance, Internet, Travel",Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018, 
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018, 
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,0.0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,NUL
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,,Chennai,Waste Management for Smart Cities,2018,INR
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018, 
PaisaDukan,Financial Services,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018, 
Sleepy Owl Coffee,Food and Beverage,Seed,,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,INR
BlueJack,Autonomous Vehicles,Seed,,Delhi,Delhi-based online used vehicles marketplace.,2018,INR
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,0.0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018,NUL
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,0.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,NUL
Pando,"Logistics, Supply Chain Management",Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018, 
