,Amount($),Year of Funding,Founded,Company/Brand,Sector,Stage,HeadQuarter,What it does,Founders
0,250000.0,2018,2015,TheCollegeFever,Brand Marketing,Seed,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Undefined
1,584000.0,2018,2015,Happy Cow Dairy,Agriculture,Seed,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,Undefined
2,949000.0,2018,2015,MyLoanCare,Credit,Series A,Gurgaon,Leading Online Loans Marketplace in India,Undefined
3,2000000.0,2018,2015,PayMe India,Financial Services,Angel,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Undefined
4,110827021.4984517,2018,2015,Eunimart,E-Commerce Platforms,Seed,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,Undefined
5,1600000.0,2018,2015,Hasura,Cloud Infrastructure,Seed,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Undefined
6,233600.0,2018,2015,Tripshelf,Internet,Seed,Kalkaji,Tripshelf is an online market place for holiday packages.,Undefined
7,730000.0,2018,2015,Hyperdata.IO,Market Research,Angel,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,Undefined
8,110827021.4984517,2018,2015,Freightwalla,Information Services,Seed,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Undefined
9,110827021.4984517,2018,2015,Microchip Payments,Mobile Payments,Seed,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,Undefined
10,110827021.4984517,2018,2015,BizCrum Infotech Pvt. Ltd.,B2B,Seed,Delhi,Building Transactionary B2B Marketplaces,Undefined
11,110827021.4984517,2018,2015,Emojifi,Internet,Seed,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Undefined
12,110827021.4984517,2018,2015,Flock,Apps,Seed,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Undefined
13,110827021.4984517,2018,2015,Freshboxx,Food Delivery,Seed,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Undefined
14,110827021.4984517,2018,2015,Wide Mobility Mechatronics,Industrial Automation,Seed,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,Undefined
15,1460000.0,2018,2015,Pitstop,Automotive,Seed,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Undefined
16,150000.0,2018,2015,Mihuru,Finance,Seed,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,Undefined
17,1100000.0,2018,2015,Fyle,Accounting,Seed,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,Undefined
18,110827021.4984517,2018,2015,AppWharf,Artificial Intelligence,Seed,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Undefined
19,7300.0,2018,2015,Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,Chennai,Waste Management for Smart Cities,Undefined
20,6000000.0,2018,2015,Cogoport,Air Transportation,Series A,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Undefined
21,650000.0,2018,2015,PaisaDukan,Financial Services,Seed,Mumbai,A P2P lending marketplace platform,Undefined
22,511000.0,2018,2015,Sleepy Owl Coffee,Food and Beverage,Seed,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Undefined
23,934400.0,2018,2015,BlueJack,Autonomous Vehicles,Seed,Delhi,Delhi-based online used vehicles marketplace.,Undefined
24,110827021.4984517,2018,2015,PregBuddy,Enterprise Software,Seed,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,Undefined
25,110827021.4984517,2018,2015,AgNext Technologies,Agriculture,Series A,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Undefined
26,2000000.0,2018,2015,Pando,Logistics,Seed,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,Undefined
27,2000000.0,2018,2015,Mintifi,Financial Services,Seed,Mumbai,Online lending startup based in Mumbai.,Undefined
28,2000000.0,2018,2015,Carcrew,Automotive,Seed,Mumbai,India's Online Auto Repair Marketplace,Undefined
29,110827021.4984517,2018,2015,NicheAI,Artificial Intelligence,Angel,Hyderabad,Early stage Artificial Intelligence (AI) start up.,Undefined
30,292000.0,2018,2015,Chariot Tech,Internet of Things,Seed,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Undefined
31,1000000.0,2018,2015,Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,Undefined
32,110827021.4984517,2018,2015,Loanzen,Financial Services,Seed,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Undefined
33,650000.0,2018,2015,Mojro Technologies,Information Technology,Seed,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,Undefined
34,1000000.0,2018,2015,Elemential,Blockchain,Seed,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Undefined
35,5000000.0,2018,2015,Loadshare,Industrial Automation,Series A,Bengaluru,LoadShare is India’s fastest growing logistics company,Undefined
36,4000000.0,2018,2015,Yumlane,Food and Beverage,Series A,Mumbai,Food startup Yumlane operated by QwikPik Technology,Undefined
37,438000.0,2018,2015,Kriger Campus,Education,Seed,New Delhi,A Education Start Up.,Undefined
38,1000000.0,2018,2015,Pipa+Bella,E-Commerce,Series A,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,Undefined
39,2800000.0,2018,2015,Kaleidofin,Financial Services,Seed,Chennai,A fintech platform.,Undefined
40,110827021.4984517,2018,2015,Chakr Innovation,Renewable Energy,Seed,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Undefined
41,150000.0,2018,2015,IndigoLearn,E-Learning,Seed,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,Undefined
42,584000.0,2018,2015,UClean,Clean Energy,Seed,India,UClean is a tech enabled laundry service provider.,Undefined
43,1000000.0,2018,2015,Coutloot,E-Commerce,Seed,Mumbai,The Fashion Re-commerce platform.,Undefined
44,1700000.0,2018,2015,Letstrack,Apps,Seed,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",Undefined
45,110827021.4984517,2018,2015,Pooltoo,Transportation,Seed,New Delhi,Pooltoo offers a premium ride sharing platform.,Undefined
46,1300000.0,2018,2015,Finzy,Financial Services,Seed,Bangalore,finzy is the premier peer to peer lending solution in India.,Undefined
47,2000000.0,2018,2015,Fitternity,Fitness,Seed,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Undefined
48,110827021.4984517,2018,2015,Keito,Artificial Intelligence,Seed,Pune,Building an Intelligent Digital Assistant.,Undefined
49,73000.0,2018,2015,Tolet for Students,Hospitality,Seed,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",Undefined
50,292000.0,2018,2015,Chai Kings,Food and Beverage,Seed,Chennai,Chai Kings is a tea retail chain,Undefined
51,584000.0,2018,2015,Dainik Jagran,Media and Entertainment,Seed,Kanpur,Dainik Jagran is a media and communications group.,Undefined
52,292000.0,2018,2015,Playtoome,Broadcasting,Seed,Bengaluru,Playtoome is a live entertainment destination,Undefined
53,1000000.0,2018,2015,ONGO Framework,B2B,Angel,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,Undefined
